City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
367,ves'yegonsk,100,RU,1690593709,97,58.664,37.2604,52.41,2.24
368,barinitas,100,VE,1690593709,97,8.7622,-70.4111,71.04,3.89
369,eastham,0,US,1690593709,75,41.8301,-69.9739,77.99,5.01
370,zaozersk,100,RU,1690593709,83,69.4005,32.4476,56.59,5.46
371,polewali,76,ID,1690593709,66,-3.4324,119.3435,81.34,2.1
372,mazagao,48,BR,1690593710,93,-0.115,-51.2894,78.85,5.03
373,progreso,33,MX,1690593441,84,21.2833,-89.6667,84.31,13.78
374,carnarvon,0,AU,1690593710,68,-24.8667,113.6333,60.73,14.76
375,minas novas,6,UY,1690593710,92,-34.3759,-55.2377,40.05,4.41
376,sitia,0,GR,1690593710,61,35.2,26.0986,80.98,16.15
377,poronaysk,100,RU,1690593710,94,49.2167,143.1167,59.41,6.58
378,kill devil hills,7,IE,1690593710,92,52.1761,-7.335,57.72,13.35
379,porto novo,100,PT,1690593711,94,41.1496,-8.611,70.29,7.0
380,guaira,100,BR,1690593711,40,-20.3183,-48.3106,73.47,3.69
381,soio,56,AO,1690593711,87,-6.1349,12.3689,68.65,6.76
382,saint-pierre,0,RE,1690593711,52,-21.3393,55.4781,64.08,12.66
383,salahonda,100,CO,1690593712,87,2.1019,-78.7217,80.44,9.78
384,jiuquan,5,CN,1690593712,31,39.7432,98.5174,80.76,7.67
385,vorgashor,13,RU,1690593712,81,67.5833,63.95,51.37,7.94
386,nola,0,IT,1690593466,68,40.922,14.5329,76.86,0.49
387,ribeira brava,75,ES,1690593712,96,42.7461,-8.4439,68.25,5.75
388,nurota,0,UZ,1690593713,32,40.5614,65.6886,79.05,8.37
389,cernavoda,4,RO,1690593714,52,44.3667,28.0167,62.04,4.63
390,kalabo,0,ZM,1690593714,36,-14.97,22.6814,59.18,3.56
391,beau vallon,69,FR,1690593714,95,44.8958,-0.1777,69.91,2.21
392,tazovsky,100,RU,1690593714,85,67.4667,78.7,61.34,6.31
393,ujae,86,MH,1690593714,80,8.9322,165.7642,82.98,17.2
394,celestun,31,MX,1690593714,82,20.8667,-90.4,81.52,15.21
395,deder,100,ET,1690593714,88,9.3167,41.45,56.03,8.08
396,allapalli,100,IN,1690593715,94,19.4167,80.0667,76.39,4.68
397,kamyshevatskaya,4,RU,1690593715,69,46.4132,37.9563,69.82,26.15
398,barra dos coqueiros,57,BR,1690593715,64,-11.0894,-43.1417,75.96,6.62
399,yuxia,99,CN,1690593715,94,34.0615,108.6291,75.81,2.64
400,acarau,4,BR,1690593689,85,-2.8856,-40.12,78.84,17.0
401,reggane,3,DZ,1690593715,8,26.7158,0.1714,100.02,3.98
402,tamanrasset,0,DZ,1690593715,10,22.785,5.5228,76.91,4.61
403,pyhajarvi,100,FI,1690593716,88,67.0701,27.2176,55.38,7.52
404,zag,100,MN,1690593716,37,46.9441,99.165,68.23,2.71
405,crane,0,US,1690593716,24,31.3974,-102.3501,94.12,15.28
406,awjilah,0,LY,1690593717,44,29.1081,21.2869,80.71,13.24
407,tinajo,75,ES,1690593717,68,29.0788,-13.7081,72.48,11.5
408,naze,100,JP,1690593717,84,28.3667,129.4833,83.32,12.66
409,visakhapatnam,75,IN,1690593718,89,17.69,83.2093,82.29,3.44
410,villa tecolutilla,4,IT,1690593670,86,46.2039,10.1339,68.43,2.1
411,murzuq,82,LY,1690593718,23,25.9155,13.9184,87.93,12.91
412,sittwe,86,MM,1690593718,85,20.15,92.9,82.76,10.07
413,kendari,95,ID,1690593718,74,-3.945,122.4989,80.38,2.24
414,puerto colombia,0,ES,1690593718,73,36.5939,-6.233,70.61,2.3
415,lorengau,93,PG,1690593718,69,-2.0226,147.2712,85.01,7.14
416,aytos,0,BG,1690593718,83,42.7,27.25,62.02,1.39
417,turpan,100,CN,1690593719,21,42.9333,89.1667,97.11,4.47
418,usinsk,12,RU,1690593719,72,65.9939,57.5281,58.62,3.83
419,mahabad,0,IR,1690593719,24,36.7631,45.7222,72.79,1.05
420,soto la marina,94,AR,1690593719,64,-32.8107,-61.4026,53.04,7.52
421,winnemucca,0,US,1690593719,8,40.973,-117.7357,93.25,12.66
422,lambarene,87,GA,1690593719,84,-0.7001,10.2406,72.0,5.28
423,puerto lempira,0,ES,1690593651,73,36.5939,-6.233,70.61,2.3
424,ketchikan,0,US,1690593654,56,55.3422,-131.6461,73.87,8.05
425,halifax,1,CA,1690593486,89,44.6453,-63.5724,71.49,2.3
426,sao gabriel da cachoeira,100,IN,1690593720,89,20.5113,76.2129,71.13,9.6
427,belmonte,59,BR,1690593720,81,-15.8631,-38.8828,71.69,3.22
428,ambodifotatra,0,MG,1690593720,61,-16.9833,49.85,73.42,13.76
429,nizhnesortymskiy,23,RU,1690593721,85,62.4397,71.7603,63.1,8.41
430,la'ie,0,US,1690593721,64,21.6477,-157.9253,87.76,7.0
431,santana,20,BR,1690593637,100,-0.0583,-51.1817,78.98,3.44
432,saint-joseph,16,RE,1690593721,68,-21.3667,55.6167,62.98,7.56
433,vila velha,100,PT,1690593721,100,42.0304,-8.1588,60.69,4.29
434,rumphi,0,MW,1690593721,85,-11.0186,33.8575,56.43,3.91
435,sobeslav,100,CZ,1690593721,95,49.2599,14.7186,65.12,3.96
436,acajutla,100,SV,1690593722,92,13.5928,-89.8275,79.09,2.48
437,praia da vitoria,20,CV,1690593722,69,14.9215,-23.5087,79.34,18.41
438,hajin,0,SY,1690593722,27,34.6927,40.827,88.59,15.95
439,sena madureira,100,TH,1690593722,70,14.327,100.4043,86.94,11.05
440,manga,100,BF,1690593723,88,11.6636,-1.0731,74.52,6.29
441,sagaing,40,MM,1690593724,83,21.8787,95.9797,82.58,6.91
442,quelimane,0,MZ,1690593724,88,-17.8786,36.8883,66.15,0.0
443,surgut,0,RU,1690593724,93,61.25,73.4167,64.58,4.47
444,barcelos,100,PT,1690593650,99,41.5388,-8.6151,70.92,3.42
445,celle,100,DE,1690593724,96,52.6226,10.0805,66.11,2.3
446,ilha de mocambique,61,PT,1690593724,93,39.91,-8.7653,67.35,1.5
447,graaff-reinet,32,ZA,1690593725,48,-32.2522,24.5308,54.91,4.21
448,sretensk,18,RU,1690593725,57,52.2453,117.7093,74.23,4.59
449,chibougamau,100,CA,1690593725,76,49.9168,-74.3659,53.22,10.36
450,holualoa,75,US,1690593725,76,19.6228,-155.9522,80.44,8.05
451,tirebolu,33,TR,1690593725,75,41.0069,38.8139,67.48,6.2
452,tofol,75,FM,1690593725,74,5.3248,163.0078,89.38,3.44
453,troitsko-pechorsk,19,RU,1690593725,89,62.7084,56.1964,58.87,2.13
454,grand rapids,14,US,1690593726,8,38.8755,-109.5012,99.59,7.81
455,paranaiba,100,BR,1690593726,35,-19.6772,-51.1908,76.24,5.06
456,kerikeri,95,NZ,1690593726,68,-35.2268,173.9474,61.92,1.99
457,hilo,40,US,1690593726,72,19.7297,-155.09,86.29,10.36
458,leninskoye,0,KZ,1690593726,30,41.7589,69.3864,77.92,2.73
459,dhuusamarreeb,1,SO,1690593727,74,5.535,46.3861,73.31,18.54
460,pemangkat,100,ID,1690593727,74,1.1667,108.9667,80.13,12.26
461,knoxville,0,US,1690592946,75,35.9606,-83.9207,87.75,9.22
462,kilju,100,KP,1690593727,56,40.9642,129.3278,87.93,3.67
463,bir hadaj,100,IN,1690593727,92,22.0518,76.5409,75.29,10.49
464,fort-shevchenko,82,KZ,1690593728,79,44.5086,50.263,78.62,10.98
465,pangody,100,RU,1690593728,88,65.85,74.4859,64.85,6.06
466,machakos,88,KE,1690593728,91,-1.5167,37.2667,58.95,0.81
467,carbonear,20,CA,1690593728,90,47.7332,-53.2148,64.24,2.15
468,westport,0,US,1690593485,82,41.1415,-73.3579,83.01,8.05
469,miri,20,MY,1690593728,89,4.4148,114.0089,84.34,3.44
470,kununurra,100,AU,1690593728,41,-15.7667,128.7333,80.58,8.05
471,noshiro,0,JP,1690593729,67,40.2039,140.0242,86.83,5.91
472,mumford,100,GH,1690593729,92,5.2618,-0.759,75.52,9.98
473,altenholz,100,DE,1690593729,94,54.4,10.1333,60.82,3.44
474,chegdomyn,100,RU,1690593729,56,51.1167,133.0167,77.81,2.91
475,saudarkrokur,93,IS,1690593730,88,65.7461,-19.6394,47.5,4.38
476,ornskoldsvik,100,SE,1690593730,94,63.2909,18.7153,58.15,8.05
477,nizhniy odes,7,RU,1690593730,84,45.3926,39.2364,66.97,13.65
478,mejit,100,MH,1690593730,79,10.2753,170.8646,83.23,20.78
479,argo,0,GR,1690593730,65,37.6333,22.7333,75.78,3.06
480,harper,100,LR,1690593731,86,4.375,-7.7169,76.62,12.08
481,kavaratti,30,IN,1690593731,76,10.5669,72.642,82.53,15.05
482,tuburan,100,PH,1690593731,84,6.6439,122.2736,86.09,9.84
483,arvayheer,0,MN,1690593731,40,46.2639,102.775,70.72,1.43
484,esikhaleni,100,ZA,1690593731,67,-28.871,31.8996,65.19,11.56
485,northam,35,GB,1690593731,92,51.0333,-4.2167,61.66,12.8
486,mirnyy,100,RU,1690593731,49,62.5353,113.9611,71.24,11.01
487,forster,16,AU,1690593732,46,-32.1667,152.5167,72.37,2.39
488,okhotsk,100,RU,1690593733,93,59.3833,143.3,56.7,9.62
489,fale old settlement,81,NO,1690593733,91,62.6287,8.8645,57.52,1.34
490,pailon,10,BO,1690593733,63,-17.65,-62.75,70.7,8.68
491,dalandzadgad,70,MN,1690593734,23,43.5708,104.425,84.6,10.4
492,victorica,100,AR,1690593734,48,-36.2151,-65.4359,55.17,19.86
493,tralee,22,IE,1690593734,91,52.2704,-9.7026,54.41,11.3
494,ataq,68,YE,1690593734,57,14.5377,46.8319,77.18,8.48
495,selfoss,65,IS,1690593734,84,63.9331,-20.9971,50.04,4.14
496,puning,93,CN,1690593734,76,23.3107,116.1687,86.43,5.84
497,alaghsas,35,NE,1690593735,30,17.0187,8.0168,92.7,2.68
498,sabha,12,LY,1690593735,28,27.0377,14.4283,84.45,11.39
499,puerto armuelles,0,ES,1690593718,73,36.5939,-6.233,70.61,2.3
500,lillehammer,20,NO,1690593735,91,61.1146,10.4674,51.17,3.02
501,sao jose da coroa grande,100,IN,1690593663,89,20.5113,76.2129,71.13,9.6
502,konarka,100,IN,1690593735,81,19.9,86.1167,82.8,7.85
503,yinchuan,45,CN,1690593736,57,38.4681,106.2731,75.88,7.52
504,siracusa,3,IT,1690593704,67,37.0881,15.2792,78.39,2.59
505,suva,75,FJ,1690593479,57,-18.1416,178.4415,74.68,5.75
506,balqash,0,KZ,1690593736,43,46.8481,74.995,72.19,4.47
507,pishin,0,PK,1690593736,53,30.5803,66.9961,77.2,2.37
508,mandalgovi,0,MN,1690593736,37,45.7625,106.2708,77.23,11.59
509,debesy,86,RU,1690593736,79,57.6529,53.8049,63.16,4.99
510,gulf shores,75,MG,1690593736,77,-21.4315,47.117,54.84,5.3
511,biga,0,TR,1690593737,73,40.2281,27.2422,67.05,2.44
512,natal,20,BR,1690593737,94,-5.795,-35.2094,74.05,5.75
513,geneseo,100,US,1690593737,78,42.7959,-77.8169,80.02,5.64
514,nelson bay,94,NZ,1690593737,72,-41.2833,173.2833,52.29,2.17
515,jiangzi,84,CN,1690593737,64,28.95,89.6333,49.59,4.29
516,trairi,5,BR,1690593438,83,-3.2778,-39.2689,78.46,10.45
517,bac lieu,71,RS,1690593737,66,45.3919,19.2367,62.6,3.49
518,narasannapeta,100,IN,1690593737,80,18.4167,84.05,82.76,8.48
519,mahasamund,100,IN,1690593738,92,21.1,82.1,79.07,11.7
520,oboyan',100,RU,1690593738,92,51.2098,36.2792,59.74,16.08
521,korla,100,CN,1690593738,25,41.7597,86.1469,85.48,10.38
522,santyoku,2,KR,1690593738,65,37.4406,129.1708,85.71,4.27
523,lobujya,91,NP,1690593738,87,27.95,86.8167,39.52,1.52
524,happy valley-goose bay,0,US,1690593738,59,35.1654,-91.6443,89.26,4.61
525,xianning,100,CN,1690593522,97,29.8833,114.2167,76.77,3.74
526,zeya,61,RU,1690593739,63,53.75,127.2667,74.23,4.7
527,privolzhsk,100,RU,1690593739,99,57.3808,41.2886,62.67,6.24
528,ancud,100,CL,1690593453,96,-41.8697,-73.8203,53.2,25.19
529,xiazhen,100,CN,1690593739,91,34.8022,117.1117,77.68,18.28
530,holmsund,75,SE,1690593739,87,63.706,20.3641,57.15,5.99
531,maun,0,BW,1690593739,44,-19.9833,23.4167,58.96,8.05
532,ixtapa,100,MX,1690593446,83,20.7,-105.2,80.22,4.61
533,puerto palomas,0,ES,1690593651,73,36.5939,-6.233,70.61,2.3
534,dobroye,100,RU,1690593740,96,52.8678,39.8109,66.76,6.91
535,kourou,100,GF,1690593740,90,5.1552,-52.6478,78.85,8.28
536,zapala,72,AR,1690593619,47,-38.8992,-70.0544,49.26,6.96
